原创/转发,日期,原微博内容,全文内容,转发数,评论数,点赞数,话题,图文识别,涉及行业,微博情绪
转发,2025-05-01 18:23:35,“新中国是一个以“左派公平+民族主义”而建设起来的国家，尽量保障公平、坚决保障国家自主权，是新中国不可动摇的两块地基，凡是违反这两块地基的行为，一旦暴露在光天化日之下，就会遭到社会舆论的激烈批评。” 九十年前面对敌人铡刀的共产党员，肯定不是为这些蛀虫赴死的”。 ??,//，就是这么回事,5,0,0, , ,司法，政务,中性
转发,2025-05-01 18:33:00,#以色列向多国求援灭山火#瞧瞧这火势，烧得那叫一个猛，直接逼得以色列紧急向多国求援！正常言，当灾难降临，嘲讽是不对的！但是，以色列这个嘛[并不简单] 世人欢呼: “报应！”……好像没毛病！[污][污][污]这场山火，对以色列来说，算是一场“意外之考”。希望它能在这场火灾里吸取“教训”，以后少些“火急火燎求助”的场面，多些未雨绸缪的准备，不然以后再碰上点事儿，还得满世界“摇人”，那可就太尴尬啦 ！#热点观点#,//，相对于以色列对加沙的罪行而言，这完全不值一提[吃瓜],1,0,0, ,以色列大火控制不住了,其他,喜悦
转发,2025-05-01 18:36:25,#董小姐#伟人之所以是伟人，因为他站在了最高处观察到了人民为何而痛，年少的时候不理解，现在想起来真是羞愧难当，真的真的好想您 ??,//，说是五千年第一人也不为过！,125,5,0, ,"11:11上滑锁定2.0x播放教员知道（公众）作者1.1975年的一天，刚做了白内障手术不久的他在书房看书，突然间就大哭了起来，把陪护的医生吓得半死，因为病人在做完手术后，是不能哭泣的，有可能会造成二次伤害。在医生的安抚下，他逐渐平静了下来。冷静过后，他将他手中的书交给了大夫，书上写的是一首词，而这首词正是陈亮的《念奴娇·登多景楼》“六朝何事，只成门户私计”五千年来！读到“六朝何事，只成门户私计”号啕大哭的，只此一人！2.""六朝何事，只成门户私计""，是对六朝历史的深刻反思，指出这些朝代未能实现真正的繁荣和强大，很大程度上是因为统治者或权臣过于注重个人和小团体的利益，最终变成了少数家族谋取私利的工具！3.主席最担心的就是人民群众再次受苦！刚刚浙江回复说点什么11:10Q 他发动一场""自下而上”的运动，矛头直指历史周期律。他明知会“跌得粉碎”但依然赌上身后名作一次演习。他看到昔日战友渐行渐远，只能独自一人承担所有。他发现自己曾经信赖的朋友欲谋私利，只能叹：""天要下雨，娘要嫁人。""他看着自己赢弱的躯体，艰难地说：“你们不走，我也不好走。他愤怒于他所解放的人民被新的官僚骑在身下奋笔写下""人民胜利今何在？他看着陈亮的《念奴娇。登多景楼》顾眼疾，先是小声念出，接着声音逐渐变193高，最后竟放声痛哭。""一水横陈，连岗三面，做出争雄势。六朝何事？只成门户私9计！""他说：""我这一辈子干过两件大事。“他54说：""人民万岁！子同志，你好之少小关注6六朝何事，只成门户私计。#我会被文..展开IFS国金中心·4.8分去看看20说点什么",政务,喜悦
转发,2025-05-01 18:38:38,原配谷潇雅，还是冲动了，不知道她现在什么心情，估计也没想到搞这么大吧。真的因为女人一时的恨，为了一个渣男何必呢？像谷女士这么优秀，离了婚可能过得更好。这下毁灭的不只是肖飞，还有自己的前程和孩子还跟着受了牵连和影响。谷潇雅自己也不弱，北大八年制医学科班出身，眼科博士，三十多岁就干到副主任医师，标准的顶级精英，完全不靠肖飞也能过得非常好。这个事理性的角度还是应该走司法程序，低调把婚离了算了，至于争财产抚养权啥的，也不是谁说拿多少就多少，法院自有定论，就凭肖那个德行能拿到抚养权才怪了。搞成现在这个样子，真的把自己的前程也给毁了。得不偿失。我是建议有头有脸的体面人，私下有事私下解决，不要搞到网上来满城风雨，这种网暴导致的伤害是不可估量的。肖飞罪有应得，谷女士这种鱼死网破的行为不值得。,[笑cry]//，又渣又抠上热搜,2,0,0, , ,其他,愤怒
转发,2025-05-01 18:43:05,有人说不理解肖为啥不把房子给前妻，一套房子而已。董家也不缺钱。那不是，肖也没打算和董过一辈子啊，董家的财产也不是他说私吞就能私吞的。董脑子糊涂，爹妈和爷爷奶奶一家子亲戚脑子不糊涂啊…这就更证明了：肖压根不爱董，就是来占便宜的，并且已经想好了后路：占多少是多少。另外还能立个人设：我不图你的钱（因为知道一时半会儿也图不到…更何况，医院又不是一个护士，董这边怀孕了，要是没出事，肖不知道会不会找个新的护士，出轨这件事，也不是说有了第一次第二次就没有第三次……整个故事里脑子最不好使的就是董…肖原配思路简单的很：离开你一时半会儿找不到条件更好的，所以出轨护士可以忍，后来发现你要离婚，那么我就拿房子走人，你不给房子，那就把大众关心的焦点曝光出来，让你吃不了 兜着走。说句实在话，谁关心一个医生的私生活，大不了骂几句渣男，原配时直接戳中了大众痛点：即肖和董不是侵犯我的利益，是拿大众的利益在开玩笑。写到这里又觉得难过，认识很多事业优秀的女性，都是最后走上了这条路，以为男人不给爱了，拿会给钱吧。以为男人对不起自己，有愧疚，分财产会大方吧。而现实是：不给爱的压根不想给钱，不爱你的男人也不会愧疚。他只觉得：我出轨都是你逼的。女性一定要认清楚：爱，愧疚感和利益是绑定在一起的。得不到男人的爱的，更得不到他的钱。所以，如果不能从男人身上得到钱，趁早自己赚钱。不要到最后忍来忍去，人才两空。,//，不爱你的男人也不会愧疚。他只觉得：我出轨都是你逼的。女性一定要认清楚：爱，愧疚感和利益是绑定在一起的。得不到男人的爱的，更得不到他的钱。[赞][赞],3,1,0, , ,彩票，医疗,愤怒
转发,2025-05-01 18:44:27,4.30实况?春城昆明蓝花楹简直美炸了好嘛??#五一环游记##五一城市深探索计划##带着微博去旅行# 一定要在春天来昆明感受一场被紫色花海包围的蓝花楹啊错过一年又一年的昆明蓝花楹季终于在今天被我赶上了虽然天公不作美阴天又下了小雨但是对于一个外地宝宝来说我已经真的很知足了还是依旧美炸天啊接下来还要再昆明一个礼拜时间会及时奉上更多攻略宝子们快关注收藏起来呀！·?昆明教场中路·?TIPS??教场中路的蓝花楹是昆明规模较大的一个了长约2公里，靠近广场集市这边的一段目前长的好一些，航拍很绝??整天街人超级多，想拍人像还是有点难度的，仰拍才能拍到蓝花楹，建议长焦离远去拉吧??街道上车辆非常多，要特别注意安全??蓝花楹专列公交车有时间可以坐下需排队等,来昆明看花的朋友顺道买几张彩票，昆明中奖率挺高的，尤其最近金牛月[爱你],2,2,0, ,,旅游,喜悦
转发,2025-05-01 18:46:14,医疗利益共同体这玩意儿吧韩国总统收拾不动美国总统收拾不动斯大林收拾不动（死前搞了“医生案件”，结果中风十几个小时没人敢抢救，躺在自己的尿里直到咽气。“医生案件”在他死后虎头蛇尾草草收场，被抓的医生全部释放）（之后玉米小夫和你滴勋宗再也没敢对医生群体动过半点念头）甚至朱元璋和嘉靖也收拾不动。明朝规定御医进错药，分误、故两等。误用药为“大不敬”，绞；故意用错药为“谋大逆”，凌迟，族诛。规定很严是吧？哎，人家有办法。你皇上不是定的严吗？太医院就只给你皇上大爷开些吃不死人的平安药，什么枣仁啊、茯苓啊之类。明朝的时候，就把光禄寺茶汤、武库司刀枪、太医院药方归类为“京师三不称”[允悲][允悲]（有的还加上“教坊司婆娘”凑成四不称）。嘉靖皇帝遇上“壬寅宫变”，被勒得半死，方皇后召集御医会诊，但御医们你看我，我看你，集体磨洋工，谁也不肯下药。眼看这皇上要完，最后方皇后指名让工部尚书许绅来施救[允悲][允悲]许绅用大黄、桃仁、红花等峻药，辰时（上午8点前后）下药，未时（下午2点前后）嘉靖忽然咯咯作声，“去紫血数升”，方乃复苏。许绅晋升为太子太保、礼部尚书[允悲][允悲],就是，好歹有人救一下// 回复 ，没有赤脚医生那就只有熬着看自己能不能活了[吃瓜]//，经常医死人//，教员的赤脚医生也是另起炉灶,2,3,0, , ,文化,愤怒
转发,2025-05-01 19:47:21,从这些协和口医的姓可以推断其出身。这些人以后要控制医疗管理机构，。。。 ??,恐怖?,8,5,0, ,1.米姓：满族以米思翰为代表，回族以米喇印为典型，体现军事与政治领域的影响。2.金姓：满族以爱新觉罗后裔为主，回族则多源于经名汉化，文化领域贡献突出。3.咸姓：满族咸麟家族为改姓实例，回族暂无明确记载。4.盛姓：满族盛佳氏改姓反映族群融合，回未见于史料。,公安,恐惧
转发,2025-05-01 20:02:31,谢贤当年很红很有钱，富养是肯定的，但看着他妈妈的教育其实更重要，一味富养不教育，很容易跑偏的。虽说我们的教育都是说“先苦后甜”，但有条件富养肯定富养，谁不想自己是“谢霆锋”呢[喵喵]#偶遇谢霆锋父亲谢贤坐轮椅出行# ??,他八字好呀//，而谢霆锋只有一个,5,0,0, ,1994年·谢少爷的一天,娱乐,中性
转发,2025-05-01 20:02:56,好讽刺真欺负人啊 ，抄袭的人高高在上，被抄袭的硕士延毕，挑的还是残疾人看到这个我真的快哭了，人小伙子够不容易了，走到这一步有多难啊#卫健委调查肖某董某#,//，这家风好完美的九族,25,5,0, ,收到的评论和，董袭营博士论文是他姑姑学生赵基淮写的，跟学生已经发表的独作专利文内容相似，甚至有3张完全相同的图片（详细分析可见小红书Aaron帖子），希望有越来越多的人关注到这个问题，能以学术不端定性，撤销博士学位。赵基淮20年硕士入学，是本校硕博连读，但24年才博士入学，并且换了导师，其中似乎有隐情哦[图片]“董小姐”的博士论文还有瓜？！#董袭莹#博士#论文#造假#毕业就业不乖就抓去红烧图14不同图像融合方式的可提化结果C115272167A 说明书附图2/4页PET 2图1-2CT和PE 融合算法的流程图董袭莹书图3董小姐论文是姑姑学生写的育人故事班晓娟老师北科大教师工作部北科教师2023年10月15日20:432020年，赵基淮同学作为硕士研究生来到班老师门下，他身患罕见疾病导致的双耳听力障碍。他对班老师说，他从小便有一个算法梦多年的专业学习让他更深刻体会到计算机是一门能够化繁为简的学科，有能力解决很多人类大脑没办法解决和处理的问题。自幼患病的他，深知疾病带来的痛苦，也懂得人类在疾病面前的渺小与无奈。因此，他希望未来能够在计算机算法方向继续深造、实践，并投身医疗领域，通过深度学习和算法等技术手段服务医学发展，能够通过自己的能力帮助更多的“赵基淮们“减缓病痛带来的伤害。在与北京协和医学院会合作的基于影像分析的宫颈癌FIGO分期自动诊断项目中，赵基淮同学参与设计算法针对CT影像以及PET影像宫颈癌的智能识别帮助医生识别宫颈病灶区域，利用信息化手段辅助医疗诊断。在与中国人民解放军总医院合作的基于深度学习的宫颈异常细胞图像检测与分类项目中，他参与设计算法对宫颈异常细胞进行智能识别，减少医生在进行异常细胞的定位和识别时带来的巨大工作量。听力的障碍没有阻挡他的认真与负责。为了提高算法的稳定性，他反复与医生交流算法细节，认真听取医生反馈并不断改进。该项目目前已完成软件部署，进入临床测试阶段。班老师鼓励他在完成好项目算法设计的同时总结凝练科研实践成果，最终，他在研究生一年级以第一作者发表E1期刊论文一篇，在研究生二年级以共同一作发表SCI 期刊论文一篇。2021年，赵基淮同学当选了”中国大学生自强之星标兵”（全共十位，北京地区唯一）、2022年入选了“北京青年榜样“年度人物。一种跨模态图像生成和检测的方法及装置XML读在线阅读下载引用easyScholar文献收藏收分享打印摘要：本发明涉及一种跨模态图像生成和检测的方法及装置，属于图象处理和人工智能技术领域，能够实现跨模态生成医学影像，且完成目标检测；该方法包括：S1、获取两种以上模态的圈像集并进行配准；S2、对图像集进行融合得到第一多模态融合图像；$3、利用第一多模态融合图像以及其对应的单模态图像对跨模态图像生成模型进行训练；S4、将第一多模态融合图像对应的单一模态图像输入跨模态图像生成模型中得到第二多模态融合图像；S5、将第二多模态融合图像和对应的第一多模态融合图像输入目标检测模型中进行训练；S6、对模型进行端到调优，得到最终的跨模态图像生成模型和目标检测模型，专利类型：发明专利申请日期：2022-05-19/公告号：CN115272167A 公开/公告日：2022-11-01赵基淮（学生第一）主分类号：G06T7/00（2017.01)（图像分伊效如从位像到非位像）分类号：G06T7/00(2017.01）：G06/33(2017.011：G06T5/50(2006.0申请/专利权人：北京科技大学C京科技大学顺德研究生院发明/设计人：马博翔赵盛淮班舞：王笑琨小红书11107335G281十我也发一张全国仅10位！这位北科学子的励志故事感听力一级残疾代表看人体的双耳听力损失平均达到了90分贝以上，语言交流无法通过听觉进行，理解和交流活动都受到严重的限制，甚至达到了耳聋的状态，很难与普通人进行正常的语言交流活动。他是赵基淮。就读于北京科技大学计算机与通信工程学院电子信息（计算机技术）专业硕士2020仍小红薯647D2B62：不敢想象当时的他有多绝望，.展开31211107345G381十我也发一张全国仅10位！这位北科学子的励志故事感自幼身患罕见疾病导致双耳听力障碍的他，只能依靠佩戴助听器和电子耳蜗生活。基淮的父母都是当地化工厂的工人，后接连下岗失业，只能靠母亲在超市打工维持生计，可病情一次次复发，高昂的医治费用和电子耳蜗植入费用对于原本捉襟见肘的家庭更是雪上加霜。幸运的是，苦难并没有击垮这个乐观坚毅的男孩，他从未停止脚步。残疾人证赵基淮为听力残疾人，残疾人证号：3715.疾持证人像01年08月29发有效期十年小红薯647D2B62：不敢想象当时的他有多绝望，.展开312,公安，政务,愤怒
转发,2025-05-01 20:20:42,杨幂离婚，我忍。孙怡离婚，我忍。张柏芝离婚，我也忍了！可章子怡这事儿，我真忍不住想说几句了！??华表奖上，章子怡去宣布获奖名单，结果被电线绊倒，摔得那叫一个狠。?画面看着都揪心，王一博和成龙赶忙去扶。第二天就传出她坐轮椅，右脚缠着绷带，走路一瘸一拐的。?这边她受伤，那边汪峰跟新欢带货带得火热。真让人觉得世态炎凉！,又不是汪峰把她绊倒的//，弱智营销号,0,0,0, ,白花蛇草华青岛啤酒,娱乐,愤怒
转发,2025-05-01 20:21:25,作为普通人，越来越能明白教员晚年的处境，理解他的难处和孤独[淡淡的] ??,无论八字和星盘，76年他都不至于走,0,0,0, , ,其他,中性
转发,2025-05-01 20:36:17,#单亲妈妈备战法考7个月只休半天# 【青岛故事｜#青岛单亲妈妈0收入苦读7个月法考上岸# 】今年37岁的青岛人姜春娇在经历母亲意外离世，又和丈夫婚姻破裂后，独自抚养孩子的她一度陷入人生至暗时刻。经历太多人生变故，综合考虑2023年她决定备战法考，成为一名律师。于是她制定了非常详细的“早6晚11”的学习计划，最终在2023年她远超分数线70多分成功一次上岸，而这期间她只休息了半天。现在回想那段经历姜春娇称其实挺幸福的，也挺佩服那个时候的自己。作为律师，她希望能够帮助有类似经历的朋友：“有时候会觉得这是一个优势，因为会多一点感同身受。”（）,挺励志的,1,0,0, ,单亲妈妈0收入苦读7个半月法考上岸7个月只休了半天“我没有退路，我必须考过！青岛故事,司法,喜悦
转发,2025-05-01 20:37:28,想想就吓人 #董小姐是个例还是群像# ??,[doge]//，或者通报结果他是罚的最重的[doge],24,0,0, ,以后的手术我学我学我学中文的土木的美术的我不会呀我学金融的我是11年的临床医学博士，被顶替没转正给我用利多卡因局麻，这阑尾我TM自己割！,医疗，公安,恐惧
转发,2025-05-01 20:53:57,#董小姐#伟人之所以是伟人，因为他站在了最高处观察到了人民为何而痛，年少的时候不理解，现在想起来真是羞愧难当，真的真的好想您 ??,其他人有啥资格评价他功过//，他从头到尾都是正确的，没有错误的。////，说是五千年第一人也不为过！,94,10,0, ,"11:11上滑锁定2.0x播放教员知道（公众）作者1.1975年的一天，刚做了白内障手术不久的他在书房看书，突然间就大哭了起来，把陪护的医生吓得半死，因为病人在做完手术后，是不能哭泣的，有可能会造成二次伤害。在医生的安抚下，他逐渐平静了下来。冷静过后，他将他手中的书交给了大夫，书上写的是一首词，而这首词正是陈亮的《念奴娇·登多景楼》“六朝何事，只成门户私计”五千年来！读到“六朝何事，只成门户私计”号啕大哭的，只此一人！2.""六朝何事，只成门户私计""，是对六朝历史的深刻反思，指出这些朝代未能实现真正的繁荣和强大，很大程度上是因为统治者或权臣过于注重个人和小团体的利益，最终变成了少数家族谋取私利的工具！3.主席最担心的就是人民群众再次受苦！刚刚浙江回复说点什么11:10Q 他发动一场""自下而上”的运动，矛头直指历史周期律。他明知会“跌得粉碎”但依然赌上身后名作一次演习。他看到昔日战友渐行渐远，只能独自一人承担所有。他发现自己曾经信赖的朋友欲谋私利，只能叹：""天要下雨，娘要嫁人。""他看着自己赢弱的躯体，艰难地说：“你们不走，我也不好走。他愤怒于他所解放的人民被新的官僚骑在身下奋笔写下""人民胜利今何在？他看着陈亮的《念奴娇。登多景楼》顾眼疾，先是小声念出，接着声音逐渐变193高，最后竟放声痛哭。""一水横陈，连岗三面，做出争雄势。六朝何事？只成门户私9计！""他说：""我这一辈子干过两件大事。“他54说：""人民万岁！子同志，你好之少小关注6六朝何事，只成门户私计。#我会被文..展开IFS国金中心·4.8分去看看20说点什么",政务,喜悦
转发,2025-05-01 21:52:50,#卫健委调查肖某董某#我以前说过，中国没有种姓制度，最重要的原因有两个：1. 中国人有反抗精神。他们会造反，会杀了那些所谓的贵族。当贵族统治无法长久维持时，就不会有种姓制度了。2、中国有科举制度，穷人也有机会通过科举晋升；每个人都有机会致富或掌权。这次医疗行业的腐败完美地诠释了我的理论。那些医疗行业的巨头们试图打造一种新的“4+4”模式，帮助自己的子女绕过相对公平的高考，进入顶尖大学，在顶尖医院获得最好的职位。他们实际上是想把财富和权力传承给家人，想成为当今中国的“贵族”。但中国民众拥有反抗精神。古代中国农民遭遇不公时，会以“王侯将相，宁有种在”的口号反抗，而今日中国民众的强烈愤怒，恰恰体现了这种基因。这正是中华文明千百年来，在历经磨难后依然屹立不倒、屡屡强盛的核心原因。#国家卫健委启动最高层级医政调查##热点观点#,[笑cry]////，杀了多少豪门贵族来着？根据当时贵族名录一个个灭门、很牛叉的人,4,0,0, ,null权贵、门阀、世族权贵资本主义：权力与财富的秘密交易NMD,政务,喜悦
转发,2025-05-01 22:13:09,壮美张家界！#埃文凯尔##张家界# ??,是犹太人么？,5,2,0, ,,其他,中性
