原创/转发,日期,原微博内容,全文内容,转发数,评论数,点赞数,话题,图文识别,涉及行业,微博情绪
转发,2025-05-02 08:50:29,#王辰# 不得不怀疑王辰是美国派来的间谍了 规培制度迫害多少医学生了 ??,祛其精华，自创糟粕是吧//////,0,0,0, ,事20:42一、大力推进4+4模式。董小姐这样的“天才少女”就是他发掘的。王院士在23年对协和毕业生讲话时，就特地提到了董小姐，可见对其的认可。三、铺开“专培”制度。考虑到国内医学生的5年本科经验不足，除了规培，将铺开专培，即对医学生再加2-4年的培训，据知情人反馈，此举和副高挂钩。王院士原本是美国国家医院院士，他回国后做的这2件事，不但让普通人成为医生的考察越来越严谨，也让海外人才成为医生的机会越来越多。大家觉得王院士这两个举措怎么样？,其他,愤怒
转发,2025-05-02 14:34:07,早安，端端正正的三角饭团花，花花今天的丸子头扎得真漂亮，眼睛也好亮，好乖好可爱，我们花局今天打扮得漂漂亮亮迎接五一。20250430(CDPanda)#微博影像年# | #萌宠随手拍# ??,这么多年，花花还是幼态肥脸子呢,0,0,0, ,胖哒蓉,其他,中性
转发,2025-05-02 16:58:37,声明：我的姥爷米德生，与董某无关。我是小某书上猫小寞（277124351）本人。5.1 下午两点多，我在小某书发了第一篇笔记，得到大量网友迅速关注。图1-6。必须说明的是，那张全家福，我放了原图又删了，删了改了又放了[允悲]5.1 晚上，我又发了第二篇笔记。图7-9。收到了无数人的鼓励和信任，深表感谢。也收到了无数人的质疑，我能理解。所以决定鼓起勇气来微博这个更大的平台，为我的姥爷米德生说一句公道话。一场社会焦点事件，莫名其妙扯上了我已故三年的姥爷，我和家人都很难过。关于我姥爷的这场无妄之灾，只希望能早日平息，早日真相大白。不用关注我，去关注真相。请友好发言不要吵架。再次感谢每一个好心人！#董某莹事件唯有真相才能定纷止争##关注社会热点事件##辟谣##董某外公为米德生系谣言#,//// :// :米德生的家人辟谣,0,0,0, ,米德生怎么就成了她姥爷了？小红书小红书号：27712435113:535G82返回我姥爷怎么就成了董xy外公万万没想到第一篇小红书居然是个辟谣贴。从昨天第一次在小红书看到我姥爷照片的震惊、愤怒，到现在打下这些字，心情久久不能平静。我的姥爷，米德生，你可以轻易从百度百科查到他的生平和照片。他年轻时支援大西北来到兰州，在寒旱所的办公室里，绘图台前，默默绘制了一辈子的地图。我印象中，姥爷只有每年的年三十不去办公室，其他时间总是在办公室画图。以前坐车路过他办公楼的时候，看着他的灯亮着，我和妈妈总要说一句，姥爷又在上班呢。我印象中，姥爷不太会做饭，我小学的时候中午在他家吃饭，他只会给我做蛋炒饭，不过说起来味道还不错。姥爷也不太会带小孩，我小时候每次去他办公室，他总是给我手里塞几颗大白兔奶糖，这在他眼里可能是哄小孩利器吧哈哈。每次去姥爷办公室，看着他画的地图，辨认着他在地图上写的字，什么希夏邦玛峰、乔戈里峰这些字眼，我比同龄人提前很早就知道了。后来我学了文科，又读了大学，读了研究生，又到北京工作，和姥爷交流的也少了，姥爷也在岁月中一点点老去。8=13:535G82返回11后来姥爷生了病，迅速消瘦，加上口罩期间的种种不便，到2022年大年初十，姥爷终于解脱了。真正了解到我姥爷在事业上的成功其实是在他过世后，我只知道他为了画图，忽略了对家人的陪伴，却不知他的图在他所在的圈子里，是多么的难得和珍贵。我打从心里为我有这样的姥爷感到骄傲！现在，网络盛传的事件就这样莫名其妙和姥爷扯上了关系，看着网络上的人一边讨论姥爷的长相和民族，一边说着要彻查真相，我想说如果可以真的请彻查，我姥爷人都走了三年了还要遭到如此侮辱和抹黑，这是多么令人难过和悲哀的事情啊！姥爷的儿女和我们孙辈，都是普通的不能再普通的人。我更是个i人，不想被过多关注。妈妈说，清者自清，等事情过去了，姥爷自然也不再会受到伤害。但是我心里又难过又无奈，于是决定在这里发一些碎碎念。我不知道会有多少人相信我，也不知道会有多少人看到我这些碎碎念，只当是我这个外孙女，对姥爷的一种纪念和“保护”吧！附上一张我们的全家福，愿事件早日平息，愿真相早日揭晓。8=的姥爷米德生与童某我的赌爷米德生与通某我的佬爷米德生与通某我的姥爷米德生与无关无关无关无关我的姥爷我德生与董某我的姥谷米德生与董某我的姥爷我的姥爷米德生与董某我的我的妈妈的姥爷米德生与董某我的姥爷米德生我的姥爷米德生与董某生与董某我的姥爷米舒生与无关无关无关我的姥我的姥姥我的姥爷米德生与我的姥节米德生无关小红书的姥爷米德生与童某我的姥爷米德生与董菜爷米德生与董某我的姥爷生与董某小红 2018/1/28Mi 看翻译妮子midesheng 2018/1/19Mi 帮助妮子：你好！请提供安全、实用、免费、可下载英文翻译软件。外公midesheng 2017/12/25Mi 续策纠正这是我的邮箱里，舍不得删除017/12/22Mi 的姥爷发给我的邮件同midesheng 2017/12/22Mi 米德生自动回复：回复：交流谢谢！收到了midesheng 2017/12/22Mi 交流妮子：我的“世界8000米以上雪山地图集”于2013年1月15日与中国地图出版社签订出版合.中国科学院哪区旱区环境与工程研究所所长基金资助国际制国协会第二十大届国际制国大会获奖作品中国雷山地图编制的里程碑国冰川学研究达到国际水平的重要成果世界海拔八干米以上雪山地图集施雅风米德生编著乔戈里峰干城章嘉峰道拉吉里峰这是妈妈拍的，我姥爷生前出版的地图其实也就是这个地图出版后，他好像是精神支柱突然没了，身体状况急转直下中国地图出小练工书一些说明1首先特别特别感谢小红书的网友们对我的支持和信任！不管是私信我的还是评论，我都有看，真的很感谢！没想到流量这么大，无法一一回复答谢，在这里统一致谢！我删除了我们的全家福，是有姐妹提示说免得被有心之人利用了，我也不想远在兰州的姥姥和我的父母担心，所以就把全家福删掉了。2关于我管我姥爷叫姥爷不叫外公这件事。我姥爷是江苏南京人，支援大西北去了兰州，成家立业。我自小生活在兰州，对姥姥姥爷的称呼就随着兰州人叫了，习惯了。我叫他姥爷他也答应，有时候我故意拽几句南京话喊他外公他也答应。3关于我的民族。我姥姥姥爷都是回族，我的民族随我母亲，也是回族。回族人里面米姓算是大姓来的。我生下来的时候他们大人们就说民族随妈姓随爸，所以我是回族人，但我不姓米。4关于我的ip.我现在定居上海，假期北上，被堵在江苏，接下来还可能被堵在山东，请忽略我的位移。5关于我姥爷的职称。我姥爷不是院士，我家世也并不显赫，我本人也只是籍籍无名打工人一个，害，说起来是不是有辱门楣了？姥爷是8=一个，害，说起来是不是有辱门楣了？姥爷是个低调得不行的人，可以说他是用几十年的言传身教让我们知道了什么是踏踏实实专注于一件事。6关于我姥爷和我用邮件沟通。据我所知他习惯用邮件和外界沟通，和同事和学生都是用邮件，或者直接电话。他不太会拼音，所以邮件都是一个词一个词的，他更不太会用微信，又怕打我电话会影响我工作，所以当时是用邮件和我沟通的。7我姥爷一生，从未标榜过自己是什么厉害人物。他于自己儿女的事业方面都不曾插手，更别提我这个外孙女了。姥爷是个沉默寡言的人，从我小时候就觉得他是个严肃得让我有点惧怕的人，总觉得和姥爷不够亲近，我甚至有些怨他天天趴着画图，不曾享受什么天伦之乐。所以我也是在姥爷过世后才知道姥爷的地图多么珍贵，才知道他的“工作狂”属性是多么让人敬仰。我的能力有限，也没什么所谓的网感，平时刷小红书就是为了放松心情的。经过这件事也确实理解了什么叫做“造谣一张嘴，辟谣跑断腿”。这是一个外孙女为已故姥爷的辩白，我也不知道还应该怎么证明了，也怕陷入一些自证陷阱，所以也不太想去回应太多了。不用关注8二图多么珍贵，才知道他的“上作壮”属性是多么让人敬仰。我的能力有限，也没什么所谓的网感，平时刷小红书就是为了放松心情的。经过这件事也确实理解了什么叫做“造谣一张嘴，辟谣跑断退”。这是一个外孙女为已故姥爷的辩白，我也不知道还应该怎么证明了，也怕陷入一些自证陷阱，所以也不太想去回应太多了。不用关注我，也希望大家不要吵架，友好发言。再次感谢好心人们，谢谢你们！O,生活，公安,喜悦
转发,2025-05-02 17:00:13,随便怎么折腾吧。但只要高考不废，平民百姓就还有希望。这是最后的底线 ??,//：闹起来先废高考。好消息：废了高考怎么都还得再装回来。,0,0,0, , ,教育,喜悦
转发,2025-05-02 17:43:57,雍正，还得是雍正。松石绿釉贯耳瓶/天津博物馆藏 更绝的是，这个松石绿是雍正朝研发的.. ??,有现代感了//,2,0,0, ,weibo.c 老猪的碎碎念摄清雍正松石绿釉贯耳瓶天津博物馆1108202weibo.com/u/1867082024老猪的碎碎念摄清雍正松石绿釉贯耳瓶天津博物馆weibo.com/u/1867082024老猪的碎碎念摄清雍正松石绿釉贯耳瓶天津博物馆,文化，旅游,喜悦
转发,2025-05-02 17:57:57,我想在院子里种点竹子，查了一下怎么种，发现很多人抱怨竹子会到处冒出来，搞的其他花草难以生存，有人说竹子真的很像君子，表面上个个清高独立，却会在地下盘根错节同气连枝，难以铲除。 ??,五岳剑派同气连枝是吧////！！////////// :// :有意思// :丁文江嘲竹诗：竹似伪君子，外坚中却空。成群能蔽日，独立不禁风。根细成攒穴，腰柔惯鞠躬。文人多爱此，生气息相同。,7,0,0, , ,其他,喜悦
转发,2025-05-03 10:52:23,完全被小奶的粉爪爪吸引住了！ ??,QQ糖,0,0,0, ,,其他,喜悦
转发,2025-05-03 11:01:20,#五一假期是捅人窝了吧# 五一假期是捅人窝了吧，这个五一你堵在了哪里？#微博兴趣创作计划##遇见春天# ??,去西湖的人是准备下水么//[允悲][允悲]//[允悲]//[笑cry]//[允悲]//[笑cry],0,0,0, ,五一假期最堵人的30个景点人山人海太热闹了,其他,喜悦
转发,2025-05-03 11:24:18,世界上最可爱的小猫出现了！ ??,哎哟给我弹一下粉鼻头不过分吧,0,0,0, ,nullnullnullnull,其他,喜悦
转发,2025-05-03 11:27:46,契丹金冠 ??,看着就像随葬的//// :我特想把它倭成图1那样…[允悲],0,0,0, ,,其他,中性
转发,2025-05-03 11:30:33,太Q弹了吧！！！ ??,给我玩一下不过分吧,0,2,0, ,,其他,中性
转发,2025-05-03 11:43:32,草，刷随机视频片段，评论里路过的俩人夸任素汐的戏，一个说特别爱看她演戏，觉得特别自然另一个上来回复，嗯，就像秋裤掖在袜子里俩人一拍即合：懂，安心！哈哈哈哈哈这什么精确比喻什么顺滑交流 ??,哈哈哈一定不是我们这里人//,0,1,0, , ,其他,喜悦
转发,2025-05-03 11:46:53,朋友姐姐的猫……………好一个飞天遁地蜘蛛猫 ??,好哦飞天猪咪,0,0,0, ,SF,其他,喜悦
转发,2025-05-03 13:07:13,【#曾黎掉粉超10万#】近日，#曾黎# 因粉丝赠送的定制徽章被团队人员转售至二手平台陷入舆论风波登上热搜，引关注。5月2日，查询曾黎个人社交平台账号发现，现粉丝量已掉至717.3万，掉粉数已超过10万。#模仿杨坤网红道歉# ???,她还能有七百多万呢？我本来估摸着五十万不错了,0,0,0, ,曾黎AAFEYANS 掉粉超10万,公安,惊奇
转发,2025-05-03 15:41:33,我只单纯觉得，这些人也未必真知道宝玉怎么样，只是借机非要讽刺一个女演员没文化而已。但除了显得狭隘愚蠢，也没真的显得多有文化。 ??,好像粉圈操作，互相挑刺儿。,0,0,0, , ,其他,中性
转发,2025-05-03 15:43:57,小猫不语只是一味地踩奶 ??,狸花猫你在弹棉花吗,0,0,0, ,,其他,中性
转发,2025-05-03 15:59:13,娱乐圈里长得美不难，长得美同时还像个正派浑厚坚韧的好人很难，主角相其实是这个东西，现在很多年轻艺人不知道，自以为变美了，其实越整越坏事了 ??,大多数人太早出来混了，没有经历过正常成长的时期，上过电影学院的还算好的，完了就他们的脑子在圈里学的都是鸡零狗碎的小妈学，失去长成坚实浑厚丰沛活人的机会//，破碎感就是不坚韧，媚视烟行像坏人。,3,0,0, , ,其他,愤怒
转发,2025-05-03 16:36:57,#猫咪领养[超话]# 性格像小狗的圆脸玳瑁一小只，给撸给摸。圆滚滚的，很像招财猫。刚刚和妈妈姐妹分开，妈妈已绝育放归，这只小猫在我这里中转找领养家庭。会有喜欢我的两脚兽带我回家吗？坐标：成都双流华府领养条件：非合租非学生，25岁以上，必须封窗，自有住房优先，喂进口粮，适龄绝育，按时疫苗。#领养代替购买[超话]##成都猫咪领养#,乱七芭蕉小猫咪//,0,0,0, ,,其他,中性
转发,2025-05-03 16:38:47,奶牛猫：人！速来救驾！[喵喵]#海外新鲜事# ??,还以为是熊猫挂树上下不来呢，哦，也差不多，都是奶牛色。,2,0,0, ,placewhere car shouldnt be,其他,中性
转发,2025-05-03 20:28:53,谁点的香蕉牛奶请享用 ??,香蕉奶牛很健康的，谁啃谁知道,0,0,0, ,nullnullnullnullnullnull,其他,中性
转发,2025-05-03 22:02:35,#最想看到的事没发生# 猫：本来早喝饱了，为了逗王八又多喝1斤#春日放个疯##遇见春天# ??,乌龟：今天吃猪肝？////[笑cry]我在期待什么////[微笑]//，还喝王八汤//,0,0,0, ,,其他,喜悦
转发,2025-05-03 23:37:29,一个宝瓶 ??,我家奶牛也是宝瓶,0,0,0, ,,其他,中性
转发,2025-05-04 00:56:50,下班去看了雷霆特工队，冬兵这部的定位跟看板娘差不多，起码换了5套以上外观，起到一个勾起观众色心忽略剧情问题的作用 ??,震惊，居然小白花太太，“阿光”命名者，又转到了我首页//[允悲]//：前面忘了后面忘了总之吧唧帅得很客观 彩蛋更是不容错过,0,0,0, , ,其他,惊奇
转发,2025-05-04 11:28:15,【我的追梦关键词｜#朱一龙说给成长一点耐心#】#朱一龙的追梦关键词是扎根#“如果你现在有些困惑和迷茫，不妨给自己一点耐心，给成长一点耐心，默默扎根，不断生长，总有一天会收获惊喜。” 发起#我的追梦关键词#互动征集， 分享的关键词是“扎根”。向下扎根，然后向上生长，积蓄足够力量，静待枝繁叶茂。一起加油！,好浓的眉毛哦,0,0,0, ,人民日报PEOPLESDAIY 我想分享的追梦关键词是扎根,娱乐,喜悦
转发,2025-05-04 16:12:15,5月3日，重庆网友反映：长寿区人民医院李姓医生喝醉了酒还在给病人看病，患者都不想让他看。（信息来源：用户7） ??,////,0,0,0, ,这个医生喝醉了酒还在给人看病,医疗，公安,中性
转发,2025-05-04 16:12:30,误入奶牛猫警校 ??,猫咪派出所,0,0,0, ,,其他,中性
转发,2025-05-04 16:27:09,像爆米花一样蹦出来了的小狗 ??,真的是爆米花呀,0,0,0, ,OOPN,其他,喜悦
转发,2025-05-04 16:37:56,“打针好痛好可怕，抱紧我。”[via ins] ??,外国狸花猫1??好大一只,0,0,0, ,Dr_hassan_jalilian,其他,中性
转发,2025-05-04 16:38:30,king ??,是路过女儿国要被抓去当驸马的帅,0,0,0, ,,其他,中性
转发,2025-05-04 19:26:23,种咪得咪 ??,种多得多,0,1,0, ,母本小苗,其他,中性
转发,2025-05-04 19:27:52,啊哈哈哈哈哈比格算是被用明白了！下面有人说：比格大魔王常有，而善用比格魔王者不常有。真的太有道理了哈哈哈哈哈哈 ??,比格家长防抑郁指南////////[跪了]////……啊啊啊啊啊//[笑cry]双方都表示很满意//[允悲],1,0,0, ,马变成蒲公英了怎么办,其他,喜悦
